Id,primary_use,processor_brand,price,capacity,ram,touchscreen,size,resolution,weight
30,40,3,1165,512,16,0,14,2880,3.31
31,40,3,1410,512,16,1,14,2880,3.09
32,40,1,530,256,8,0,14,1080,3.51
38,40,3,745,512,16,0,14,1080,3.09
39,40,3,590,512,8,0,15.6,1080,3.97
43,40,3,460,256,8,0,15.6,768,3.97
49,40,3,625,256,8,0,15.6,1080,3.97
50,40,3,380,512,8,0,15.6,1080,3.97
52,40,3,800,512,8,0,15.6,1080,3.86
53,40,1,875,512,16,0,14,1080,3.11
54,40,1,755,512,16,0,14,1080,3.11
59,40,3,280,256,4,0,14,768,3.53
63,40,3,1299,1000,16,0,16.1,1080,5.11
77,40,3,950,512,16,0,14,1080,3
79,40,1,1120,1000,16,1,13.3,1080,2.89
83,40,3,1830,512,16,0,13.4,1080,2.56
84,40,1,1225,512,16,1,14,1080,3.15
95,40,3,275,128,4,0,14.1,1080,5.45
97,40,3,500,512,8,0,15.6,1080,3.73
99,40,1,525,512,8,0,14,1080,3.53
100,40,3,610,256,8,1,14,1080,3.31
101,40,3,530,256,8,0,15.6,1080,3.97
102,40,3,330,128,4,0,11.6,768,2.78
103,40,3,365,128,4,1,11.6,768,3.09
104,40,1,800,512,16,0,15.6,1080,3.97
105,40,3,755,512,8,1,14,1080,3.31
106,40,1,800,512,16,0,15.6,1080,3.97
107,40,3,325,256,4,0,15.6,768,3.97
108,40,3,625,512,8,1,14,1080,3.31
109,40,3,470,512,8,0,15.6,1080,3.97
110,40,1,625,512,16,0,14,1080,3.53
111,40,3,400,512,8,0,15.6,768,3.97
112,40,3,510,256,8,0,15.6,1080,3.97
113,40,1,750,512,8,0,15.6,1080,3.86
114,40,3,2080,1000,32,0,15.6,3841,4.72
115,40,3,345,512,4,1,14,768,3.28
116,40,3,345,256,4,1,14,768,3.28
117,40,3,2000,1000,16,1,15.6,3841,4.72
118,40,1,685,512,8,0,14,1080,3.11
119,40,1,740,512,8,0,15.6,1080,3.86
120,40,1,740,512,8,0,15.6,1080,3.86
121,40,1,685,512,8,0,14,1080,3.11
122,40,3,2000,1000,16,1,15.6,3841,4.72
125,40,3,425,256,4,0,15.6,1080,3.97
127,40,3,675,512,8,1,14,1080,3.35
128,40,1,470,512,8,0,14,1080,2.76
131,40,3,720,512,8,1,14,1080,4.74
132,40,3,239,256,4,0,11.6,768,3.92
133,40,3,1050,512,16,1,14,1080,3.35
134,40,1,715,512,8,1,14,1080,4.67
135,40,3,530,512,8,0,14,1080,3.92
136,40,3,915,512,16,1,14,1080,3.35
137,40,3,1210,512,16,1,14,1080,3.99
140,40,3,530,512,8,0,14,1080,3.22
143,40,3,1554,1000,16,0,16.1,1080,5.11
145,40,1,1044,512,16,0,16.1,1080,5.11
147,40,3,495,1000,8,0,15.6,768,4.72
148,40,1,465,512,8,0,15.6,768,4.78
151,40,3,510,512,8,0,15.6,1080,3.92
153,40,1,1640,1000,16,0,17.3,1080,5.73
155,40,1,975,512,16,1,13.3,1080,2.91
158,40,3,1080,512,8,0,15.6,768,3.55
159,40,3,2100,1000,16,0,15.6,2560,5.25
161,40,1,460,512,4,0,14,1080,3.04
164,40,3,1189,1000,16,0,16.1,1080,5.11
165,40,3,1169,1000,16,0,16.1,1080,5.11
169,40,3,630,512,8,0,14,1080,3.92
173,40,1,750,512,16,0,15.6,1080,3.97
174,40,1,750,512,16,0,15.6,1080,3.97
175,40,3,275,512,4,0,11.6,768,2.31
176,40,3,385,1000,8,0,15.6,1080,3.97
177,40,3,275,512,4,0,11.6,768,2.31
178,40,3,385,256,8,0,14,768,2.87
179,40,3,1410,512,16,1,14,1080,3.57
188,40,1,1210,1000,16,0,14,2880,3.2
190,40,1,1210,1000,8,0,14,2880,3.2
191,40,1,1629,1000,16,0,16,3842,4.3
192,40,3,970,512,16,0,13.3,1080,2.51
193,40,1,1650,1000,16,1,14,2880,3.09
194,40,3,610,256,8,0,14,1080,3.53
195,40,3,1165,1000,16,0,13.3,1080,2.51
197,40,3,850,512,8,0,13.3,1080,2.51
198,40,3,430,256,8,0,14,1080,3.53
201,40,3,975,512,16,0,13.3,1080,2.51
202,40,3,1100,512,16,0,13.3,1080,2.51
203,40,1,1149,1000,16,1,14,2880,3.09
212,40,3,605,512,16,0,15.6,1080,3.66
213,40,3,510,512,8,0,15.6,1080,3.75
214,40,3,457,512,8,0,15.6,1080,3.75
215,40,3,625,512,8,0,14,1080,4.01
218,40,1,729,1000,16,0,14,2240,3.04
228,40,1,850,512,8,0,15.6,1080,3.53
230,40,3,685,512,8,0,15.6,1080,3.73
232,40,3,610,1000,8,0,15.6,1080,3.64
234,40,3,424,512,8,0,15.6,1080,3.73
235,40,1,339,512,4,0,15.6,1080,4.19
236,40,3,530,512,8,0,14,1080,3.09
237,40,3,1050,512,16,1,13.3,1080,2.87
239,40,1,919,512,16,1,14,2880,3.09
240,40,3,530,512,8,0,14,1080,3.09
241,40,3,530,1000,4,1,13.3,1080,1.72
242,40,3,685,256,8,1,13.3,1080,1.72
243,40,3,1290,512,16,1,13.3,1080,2.87
244,40,3,1650,1000,16,1,14,1080,3.57
245,40,3,1210,512,8,1,14,1080,3.57
246,40,3,530,512,8,0,14,1080,3.09
247,40,3,1050,512,16,1,13.3,1080,2.87
248,40,3,530,512,8,0,14,1080,3.09
249,40,3,300,256,4,0,14,1080,3.31
250,40,3,1410,512,16,1,14,1080,3.57
251,40,3,1210,512,8,1,14,1080,3.57
253,40,3,689,512,16,0,15.6,1080,4.43
254,40,3,720,512,16,0,14,2240,4.52
258,40,3,559,512,8,0,15.6,1080,4.61
259,40,1,799,512,16,0,14,1080,3.53
260,40,1,799,512,16,0,14,1080,3.53
261,40,3,800,512,16,0,14,2880,3.09
262,40,3,510,256,8,0,15.6,768,3.97
264,40,3,920,512,8,1,14,1080,2.31
265,40,3,339,1000,8,0,15.6,1080,3.75
266,40,3,859,512,8,0,15.6,1080,3.64
270,40,3,344,256,4,0,14,1080,3.77
274,40,3,569,512,8,0,15.6,1080,3.73
275,40,3,331,256,8,0,14,768,3.22
276,40,1,399,512,8,0,14,1080,3.22
279,40,3,709,512,16,0,14,1080,3.22
281,40,3,799,512,8,0,13.3,1080,2.87
283,40,3,2799,1000,32,0,15.6,2560,4.63
291,40,3,378,1000,8,0,15.6,1080,4.25
292,40,1,470,512,8,0,15.6,1080,3.73
